"archivo","fecha_original","tamano_bytes"
"recorder/company-calm-953/branch-Av Santa Fe-1860/30554477-20260609-163603-211a685c-eb67-4bf8-b37a-484ca5020528.webm","2026-06-09T16:36:04+00:00",5072300
"recorder/company-calm-953/branch-Av Santa Fe-1860/30564879-20260609-192949-e900d5d2-42ee-4eb8-a842-d7f928e7fe0b.webm","2026-06-09T19:29:50+00:00",2540204
"recorder/company-calm-953/branch-Av Santa Fe-1860/30565748-20260609-194500-fae6c458-8168-4ed0-b227-29e8d5169779.webm","2026-06-09T19:45:01+00:00",2751884
"recorder/company-calm-953/branch-Av Santa Fe-1860/30569674-20260609-210451-34fbc8d9-501d-485e-b8cb-3db7bcedbef3.webm","2026-06-09T21:04:52+00:00",36112652
"recorder/company-calm-953/branch-Av Santa Fe-1860/30570915-20260609-213736-e8680406-8c87-4bd0-8db3-a8b0172d1533.webm","2026-06-09T21:37:37+00:00",36691244
"recorder/company-calm-953/branch-Av Santa Fe-1860/30571108-20260609-214031-bc150a5f-0985-4b6d-9e08-e33e15646ed8.webm","2026-06-09T21:40:32+00:00",13646348
"recorder/company-calm-953/branch-Av Santa Fe-1860/30571425-20260609-220249-6481392b-84a6-4e99-aba7-22a52a61d9a0.webm","2026-06-09T22:02:53+00:00",73283660
"recorder/company-calm-953/branch-Av Santa Fe-1860/30595846-20260610-161251-b295be79-0c9e-4db2-bf01-31f930bef407.webm","2026-06-10T16:12:52+00:00",84714380
"recorder/company-calm-953/branch-Av Santa Fe-1860/30639229-20260611-161611-2f87f544-fef3-4264-b4e8-3b45f900ecde.webm","2026-06-11T16:16:12+00:00",1566476
"recorder/company-calm-953/branch-Av Santa Fe-1860/30640341-20260611-164032-9888612a-95fc-4d2c-b3f8-9c0bd6317fed.webm","2026-06-11T16:40:34+00:00",91869164
"recorder/company-calm-953/branch-Av Santa Fe-1860/30641837-20260611-170314-356541a8-619c-4073-9073-73db0e556b49.webm","2026-06-11T17:03:16+00:00",85659884
"recorder/company-calm-953/branch-Av Santa Fe-1860/30650098-20260611-193426-177da3a7-00de-4306-87b4-711f167b0ed2.webm","2026-06-11T19:34:27+00:00",33897068
"recorder/company-calm-953/branch-Av Santa Fe-1860/30654117-20260611-210118-2716452a-eeca-49e2-a587-58e08d088c11.webm","2026-06-11T21:01:19+00:00",53498636
"recorder/company-calm-953/branch-Av Santa Fe-1860/30655711-20260611-214124-6f881105-7640-419b-b5b3-204c5ecd283e.webm","2026-06-11T21:41:25+00:00",1651244
"recorder/company-calm-953/branch-Libertador-1846/30606998-20260610-191248-5e2cf2f0-8328-4cc9-a058-602d07e277ce.webm","2026-06-10T19:12:49+00:00",5644844
"recorder/company-calm-953/branch-Libertador-1846/30642367-20260611-170925-998d970b-feb0-4268-8d39-e53fe019ec4d.webm","2026-06-11T17:09:26+00:00",54754604
"recorder/company-calm-953/branch-Libertador-1846/30642782-20260611-172206-04a7c0d1-d55e-4822-be5d-63bf3f3c0761.webm","2026-06-11T17:22:07+00:00",103793804
"recorder/company-calm-953/branch-Libertador-1846/30653479-20260611-204401-14522402-1ae4-4661-ae66-939dab7979d5.webm","2026-06-11T20:44:02+00:00",45229004
"recorder/company-calm-953/branch-Libertador-1846/30654449-20260611-211754-6a6a2648-c637-4090-90d3-b36c51e43f5d.webm","2026-06-11T21:17:57+00:00",139045580
"recorder/company-calm-953/branch-Santos Dumont-1845/30566092-20260609-195911-0b3547bc-0414-4aea-b8c0-f626df435cdf.webm","2026-06-09T19:59:14+00:00",91996172
"recorder/company-calm-953/branch-Santos Dumont-1845/30609261-20260610-195719-6f6bd6c0-b155-44a2-afef-f120a2c79168.webm","2026-06-10T19:57:21+00:00",47331692
"recorder/company-calm-953/branch-Santos Dumont-1845/30612098-20260610-204819-fd9c1103-9aa2-4389-9be2-d18a8a4424af.webm","2026-06-10T20:48:20+00:00",381068
"recorder/company-calm-953/branch-Santos Dumont-1845/30643289-20260611-172643-26ffe610-a1e9-49c4-89e0-e30570c13d72.webm","2026-06-11T17:26:44+00:00",53216396
"recorder/company-calm-953/branch-Santos Dumont-1845/30643574-20260611-172729-41aaf4a1-2c87-4975-8dcf-66d4ab55e63e.webm","2026-06-11T17:27:30+00:00",3189356
"recorder/company-calm-953/branch-Santos Dumont-1845/30645219-20260611-175824-0648fb65-039f-4da2-9236-99aae31dc324.webm","2026-06-11T17:58:25+00:00",1566476
"recorder/company-calm-953/branch-Santos Dumont-1845/30645305-20260611-180017-73b62bf6-6ea6-4e0f-8d09-fb2293ec88bb.webm","2026-06-11T18:00:18+00:00",959660
"recorder/company-calm-953/branch-Santos Dumont-1845/30645316-20260611-180058-93cd4621-061e-4ab8-92bd-18e8dfb62134.webm","2026-06-11T18:00:59+00:00",3259916
"recorder/company-calm-953/branch-Santos Dumont-1845/30645426-20260611-180329-b9aefd7e-31fc-478b-9535-08474143e3c8.webm","2026-06-11T18:03:30+00:00",2427308
